42	Temporal	In fact, a very high-ranking Soviet official told an American official at a diplomatic dinner that no change in the policy was contemplated.	The day after that conversation at the residence of the U.S. ambassador, the Brezhnevite editor of Pravda, Victor Afnasjev, was replaced by a college classmate of Mr. Gorbachev's.
43	Comparison	In sum, the biases ennumerated above indicate a 0.7 percentage point understatement in growth of total real GNP.	For the private domestic business economy, the bias was a bit over 0.5 percentage point.
44	Temporal	But then, they put two loaded pistols to his temple and demanded he open the safe.	When he initially refused, they stabbed him in the back and made off with $2,000 and 280 blank tickets.
45	Temporal	Three days later, before the new embryo had become implanted in the uterus, it was washed out of the mother mouse.	The embryo had progressed only to a clump of eight identical cells.
46	Expansion	His rhetoric gathered momentum as he rolled into office,	"affirming his ""firm support of our cause"" during an anti-abortion rally three days after his inauguration last January."
47	Expansion	giving aid to Hungary and Poland	to support their recent political reforms,
48	Temporal	pop right back up	and peer in the window of a Boeing 747 -- from the outside -- as it takes off.
49	Contingency	then in 15 years, the economies of these countries would be totally restructured	to be able to almost sustain growth by themselves.
50	Contingency	and these Senate Democrats refused to agree to allow a vote to append capital gains to the budget bill,	knowing it would pass.
51	Comparison	Stores in upper-income neighborhoods, for instance, will carry high-priced wines, publications such as Vanity Fair, gourmet pasta sauces, oat bran cereals and Weight Watchers and Pritikin products.	Stores in Hispanic areas will stock an assortment of Spanish-language magazines, Mexican cooking items and candies.
52	Expansion	Municipals ended mixed, while mortgage-backed and investment-grade corporate bonds rose.	Prices of high-yield, high-risk corporate securities ended unchanged.
53	Comparison	it has about $4.6 billion in factored sales annually;	the Security Pacific unit has about $1.8 billion annually.
54	Temporal	A squiggly line snakes across a video screen,	gyrating erratically
55	Expansion	The researchers also pulled off a second genetic engineering trick in order to get male-sterile plants in large enough numbers to produce a commercial hybrid seed crop.	They attached a second gene, for herbicide resistance, to the pollen-inhibiting gene. Both genes are then inserted into a few greenhouse plants, which are then pollinated and allowed to mature and produce seed. The laws of heredity dictate that half of the plants springing from these greenhouse-produced seeds will be male sterile and herbicide resistant and half will be male fertile and herbicide susceptible. The application of herbicide would kill off the male-fertile plants, leaving a large field of male-sterile plants that can be cross-pollinated to produce hybrid seed.
56	Temporal	After practicing law locally, he was elected to his first 10-year term as judge in 1971; in 1981, he was effectively re-elected.	Six years ago, Judge O'Kicki was voted president of the Pennsylvania Conference of State Trial Judges by the state's 400 judges.
57	Contingency	Real, aftertax returns from financial assets are on the order of 1% or 2% a year.	The capital-gains tax reform is a step toward correcting one of the gravest structural weaknesses of the U.S. economy, the closely connected phenomena of low savings rates, weak capital formation and high capital costs.
58	Expansion	Among the possibilities the Treasury is considering are requirements that banks keep records identifying the originators and recipients of international wire transfers.	"Another suggestion would draw banks more directly into tracking down money launderers by developing a ""suspicious international wire transfer profile,"" which banks would use to spotlight questionable payments."
59	Temporal	I guess we're all living very tentatively here,	waiting for the expected but dreaded aftershock.
60	Temporal	At first UAL didn't open because of an order imbalance.	When it did a half-hour into the session, it was priced at $150 a share, down more than $28 from Monday's close.
61	Expansion	but that may not be enough to prevent inventories from ballooning if sales don't improve.	that domestic auto makers will have a 93-day supply of cars at the end of the year, even if car sales improve to a 6.5 million vehicle rate for the quarter.
62	Temporal	But it was broad-scale rejection by Japanese banks that helped seal the fate of the attempt to buy UAL.	Citicorp and Chase are attempting to put together a new, lower bid.
63	Temporal	faced the assembled newsies	"and laughingly shouted, ""We arranged that just for you guys!"
64	Expansion	and then as a rough-and-tumble syndicator.	"Get off your . . .,' he would bellow,"" say the authors."
65	Temporal	And in a Japanese corporate first, Nissan recently opened the first coed company dormitory for single employees at the suburban Tokyo technical center.	We had lots of internal debate about this one,
66	Expansion	Opponents show that there are already more funds available than commendable reform efforts.	They worry that new IMF funding of developing countries will simply end up substituting IMF debt for reschedulable commercial bank debt, a bad trade all around.
67	Expansion	They should see to it that their kids don't play truant;	they should make certain that the children spend enough time doing homework;
68	Temporal	cited	and seemingly ignored
69	Expansion	For greater efficiency, employees at those locations will be reorganized into teams responsible for managing the properties under their jurisdiction,	The main feature of the new organization is that each local manager will have both the authority and accountability for profitable and technically sound operations,
70	Expansion	The GAF trials were viewed as previews of the government's strength in its cases against Mr. Lewis and Mr. Bilzerian.	Mr. Jefferies's performance as a witness was expected to affect his sentencing.
71	Contingency	Amid the market disorder, even Drexel, which has the widest and most loyal following of junk bond investors, is pulling in its horns.	Although the big investment bank still dominates the junk market, Drexel has been unable to stem the fallout from growing junk bond defaults, withdrawn new offerings, redemptions by shareholders in junk bond mutual funds and an exodus of once-devoted investors.
72	Expansion	Du Pont, unlike companies hurt badly by sharp price declines for basic chemicals and plastics, is benefiting from its broad range of businesses.	The profit gain was made despite a weakening in the housing market, for which the company is a supplier, and a strengthening in the dollar, which lowers the value of overseas earnings when they are translated into dollars.
73	Expansion	The Ku Klux Klan was revived in the 1920s as a national organization aimed at Catholics and Jews as well as blacks.	"One reason for its downfall was the murder trial of D.C. Stephenson, an Indiana leader whose reckless career is depicted in this film starring Mel Harris (""thirtysomething"") and John Heard."
74	Contingency	Mr. Garber depicts these moral qualities with the broad brush strokes of a satire that occasionally descends to the realm of cliched caricatures.	Standard-issue portraits of flaky Californians, snobbish homosexuals and Neanderthal union leaders undermine the force of the author's perceptions.
75	Comparison	In Washington, the Bush administration took a characteristically cautious and skeptical view of the leadership change.	The official line was to offer warmer ties to Mr. Krenz, provided he is willing to institute reforms.
76	Temporal	the properties then sit around deteriorating for maybe a year or so, but are resold eventually (because of the attractiveness of the low down payment, etc.) to a marginal buyer who can't afford both the mortgage and needed repairs; and having little vested interest that buyer will walk away	and the vicious cycle repeats itself all over again.
77	Expansion	By Richterian standards, the show that the Oakland Athletics put on Friday and Saturday nights, in putting a mercifully swift end to the game's Longest Short Series, rated somewhere between a 10 and an 11.	but they certainly did some impressive things with baseballs.
78	Contingency	But the lack of lines became painfully apparent.	As the stock market lurched into a 190-point free fall on Oct. 13, Mr. Breeden found himself scurrying around the sixth floor of the SEC -- from his desk, where the New York Stock Exchange was on an open line, to his assistant's office, where the Commodity Futures Trading Commission was connected, to a third room, where a computer monitored market moves.
79	Comparison	Oddly, though, on the very same page you printed a comment that addresses one of the most serious shortcomings of the American education system.	Unfortunately, the comment was buried in another article, so it could not stand out in an education context.
80	Contingency	We aren't forced sellers.	We don't have an absolute deadline
81	Comparison	Their problem is one of inefficiency of an industrial economy.	The Chinese problem is much greater -- it's how to industrialize to begin with.
82	Temporal	that for the week ended Friday, the balance of margin buying rose 189.8 billion yen ($1.34 billion), to 7.160 trillion yen ($50.46 billion)	The balance of short positions outstanding fell 159.7 billion yen, to 779.8 billion yen.
83	Temporal	He made numerous trips to the U.S. in the early 1980s, but wasn't arrested until 1987 when he showed up as a guest of then-Vice President George Bush at a government function.	A federal judge in Manhattan threw out the indictment, finding that the seven-year delay violated the defendant's constitutional right to a speedy trial.
84	Contingency	Parties are rather a state of mind,	If you are born to give parties, you give parties.
85	Contingency	Mr. Gutfreund collected $32 million, while Billy Salomon got $10 million, much less than if he had conducted the sale.	I felt betrayed,
86	Comparison	The Dow Jones industrials rose 5.94, to 2689.14,	Most bond prices fell,
87	Comparison	"boiler rooms a ""negative we wish we could get rid of."	"Actually, ""we don't get much negative publicity about this, except for the press who write about it."
88	Contingency	The outlook for corporate earnings is fairly bleak.	"It's quite likely we're going to get repeats"" of the mid-October market shocks."
89	Contingency	the inactivation of tumor-suppressor genes, alone or in combination, appears crucial to the development of such scourges as cancer of the brain, the skin, kidney, prostate, and cervix.	that if people inherit defective versions of these genes, they are especially prone to cancer, perhaps explaining, finally, why some cancers seem to haunt certain families.
90	Expansion	but it isn't going to be a bust either.	"fourth-quarter sales at his company to rise ""pretty much in line"" with its year-to-date increases of between 8% and 9%."
91	Comparison	and then the Patent Office refused to grant it.	That judgment, in turn, was reversed by the U.S. Supreme Court,
92	Contingency	Dun & Bradstreet lost 1 7/8 to 51 7/8 on 1.8 million shares.	Merrill Lynch lowered its short-term rating on the stock and its estimate of 1990 earnings,
93	Temporal	"Please contribute what you can,"" the ad said."	The Nissan logo flashed on the screen for a moment,
94	Comparison	The index was under pressure for most of the morning over concerns that the effects of Tuesday night's major earthquake in the San Francisco area would undermine the U.S. market.	The mood changed after dealers reappraised the direct impact of the disaster on shares and Wall Street rebounded from early losses.
95	Contingency	but New Delhi hasn't pushed the legislation	to make it operational.
96	Expansion	but to reduce it further, production and supply of other beverages, including fruit juices, should be stepped up.	that shops will have to continue reducing their stocks of liquor and avoid displaying them too prominently in the window.
97	Contingency	I hire transportation,	and my customers have fresh cold cuts every day.
98	Expansion	he wouldn't dream of participating himself:	No way. I think re-enactments stink.
99	Temporal	Revenue rose 12% to $1.63 billion from $1.46 billion.	Systemwide sales, which include sales at franchisee as well as company-owned stores, totaled $4.59 billion compared with $4.2 billion.
100	Contingency	Nora, who still has artistic aspirations, knows she is lucky to be working as a food stylist, prepping pies, burgers, frosty cold drinks and other comestibles to look as appetizing as possible in front of the camera.	After all, there were housewives with Nikons and degrees from cooking schools in France who would kill for her job.
101	Expansion	The companies running the disaster ads certainly don't see themselves as ambulance chasers, either.	"Burger King's chief executive officer, Barry Gibbons, stars in ads saying that the fast-food chain will donate 25 cents to the Red Cross for every purchase of a BK Doubles hamburger. The campaign, which started last week and runs through Nov. 23, with funds earmarked for both the quake and Hugo, ""was Barry's idea,"" a spokeswoman says. ""Barry felt very committed."
102	Expansion	Japan's biggest computer maker last week undercut seven competitors	to win a contract to design a mapping system for the city of Hiroshima's waterworks.
103	Contingency	flooding caused by broken water pipes closed its San Jose plant,	The plant and its 8,500 employees gradually will resume operations over the next several days,
104	Temporal	A corporation that wants to sell stock or bonds goes to a Wall Street firm, which purchases the securities outright, accepting the financial risk of finding buyers.	If the investment bank can sell the securities at a higher price than it paid the issuer, it makes a profit.
105	Contingency	"imposing ""circuit breakers"""	to halt program trading during sharp swings in the market.
106	Temporal	but with the understanding that Mr. Ty had repurchase rights.	His ability to match any bid has scared off many potential buyers.
107	Temporal	Anthony Wang, president, attributed the drop to the disruption of the company's business resulting from the prolonged process of acquiring Cullinet.	The acquisition was completed in September.
108	Expansion	Maxicare Health Plans Inc. outlined terms of its reorganization plan that calls for creditors and shareholders to receive at least $78.8 million in cash and $67 million face amount of 10-year, 13.5% notes.	operating under Chapter 11 bankrupty-law protection,
109	Expansion	setting a rookie wage scale	to try to rein in salaries.
110	Temporal	Coke said it will test market a caffeine-free version of its flagship brand, Coca-Cola Classic, beginning next week in Charlotte, N.C.	Other, as yet unnamed, cities will follow.
111	Expansion	"Shortageflation,"" as economists have come to call it, had gone hyper."	The cost of raising a pig kept bounding ahead of the return for selling one.
112	Contingency	The Big Board's disclosure of program trading activity on these two days was unusual.	Though it collects such data daily, its monthly reports on program trading usually come out about three weeks after each month ends.
113	Comparison	"Moody's Investors Service Inc. said it lowered the ratings of some $145 million of Pinnacle debt because of ""accelerating deficiency in liquidity,"	"Henry Sargent Jr., Pinnacle executive vice president, said the action ""won't really have any effect on us."
114	Contingency	Legal controversies in America have a way of assuming a symbolic significance far exceeding what is involved in the particular case.	They speak volumes about the state of our society at a given moment.
115	Temporal	According to reports from Finland, Waertsilae Marine, 19%-owned by conglomerate Oy Waertsilae, filed for bankruptcy yesterday after the shipyard's contractors had started to demand bank guarantees.	The shipyard disclosed in mid-August that it expected losses stemming from a series of unprofitable orders.
116	Comparison	A year at Harvard now goes for $19,395.	By 2007, when this year's newborns hit campus, a four-year Ivy League sheepskin will cost $300,000, give or take a few pizzas-with-everything at exam time.
117	Contingency	If the Paribas bid succeeds, it will be the second time in two months a big French investment banking group has snapped up an insurance group.	Last month, Paribas's archrival, Cie. Financiere de Suez, won a battle for Groupe Victoire, France's second-largest private-sector insurer,
118	Expansion	It means we're eating into the bread that keeps us going.	That is a little disturbing,
119	Comparison	who said Brazil wasn't involved in any coffee discussions on quotas,	The Colombian minister to have referred to a letter that he said President Bush sent to Colombian President Virgilio Barco, and in which President Bush said it was possible to overcome obstacles to a new agreement.
120	Temporal	Now, we realize what our mothers must have gone through,	We always heard about the earthquake, but as children we didn't always listen.
121	Comparison	only Schering-Plough, which makes the mass-market Maybelline, has maintained a meaningful business.	Colgate, which acquired Helena Rubenstein in 1973, sold the brand seven years later after the brand languished.
122	Temporal	But in Baltimore, Dr. Vogelstein, a young molecular biologist at Johns Hopkins Medical School, believed Dr. Knudson was right, and set out to repeat the Cavenee experiment in cells from other cancers.	His was one of two research teams in 1984 to report dual chromosome losses for a rare childhood cancer of the kidney called Wilm's tumor.
123	Comparison	Once he realized that Paribas's intentions weren't friendly, he sought approval to boost his Paribas stake above 10%.	but Mr. Fournier downplayed the likelihood of his organizing a takeover bid of his own for the much-larger Paribas.
124	Expansion	Japanese publishers want to be introduced to the publishing and information industries,	While there aren't any major deals in the works currently on the scale of Sony Corp. 's recent $3.4 billion agreement to buy Columbia Pictures Entertainment Inc., observers don't rule out a transaction of that size.
125	Contingency	"Pegasus Gold ""has been on a lot of recommended lists as a junior growth company stepping into the big leagues,"	It's a good company, and growing;
126	Expansion	There are die-hard bodies, of course.	"People were going nuts the minute we opened,"" three days after the quake."
127	Expansion	"Or, as Mr. Carpenter, puts it: ""We're ready to implement at this point."	again drawing on his consulting-firm background,
128	Contingency	Capital Associates dropped 1 to 5 3/8.	The company, reported substantially lower net income for its fiscal first quarter,
129	Comparison	All of their friends have children	and they can't,
130	Comparison	The year earlier, the company had a net loss of $4.3 million, or 20 cents a share, based on 21 million common shares and dilutive equivalents outstanding.	The 1988 results include a $10.7 million charge stemming from a litigation judgment.
131	Expansion	Last week's discerning audience gave a bigger hand to a greenhouse than to the tenor Neil Shicoff,	Inexplicably costumed as a rabbinical student, tottering around on lifts, Mr. Shicoff hardly seemed the fellow to catch a fancy cocotte's eye.
132	Temporal	He took Polly Peck, once a small fabric wholesaler, and used it at as a base to build a conglomerate that has been doubling its profits annually since 1980.	In September, it announced plans to acquire the tropical-fruit business of RJR Nabisco Inc. 's Del Monte foods unit for #557 million ($878 million).
133	Comparison	But this week, B.A.T has been hit harder than other big U.K. stocks	B.A.T rose five pence (eight cents) to 756 pence ($11.91) in London yesterday as a late market rally erased a 28-pence fall earlier in the day.
134	Expansion	shortening the terms of the members,	eliminating the presidents of the Federal Reserve Banks from the decision-making process,
135	Expansion	bangs on the piece of paper in frustration,	then turns and walks away.
136	Comparison	Analysts expect Federal's earnings to improve again in its fiscal third quarter ending Feb. 28, when the company should begin benefiting from Tiger's extra flights, back-up planes and landing rights.	Until then, they expect the cost of integrating the two carriers to continue crimping profits.
137	Contingency	Americans spent more than $190 billion on new cars and trucks last year, and just 1% of that market exceeded Polaroid Co. 's sales of $1.86 billion.	Even if it's only 1%, would you throw away sales the size of Polaroid?
138	Expansion	"while the Washington bureaucracy ""took hours getting into gear."	One news show we saw yesterday even displayed 25 federal officials meeting around a table.
139	Contingency	"he wants to ""influence"" but not ""manage"" companies."	I don't want to be like {financier Alan} Bond and the other Australians.
140	Contingency	was priced as 8 1/4% securities at 99.672	to yield 8.33%.
141	Expansion	The pithiest testimony to their domination of the just-concluded tournament came from Giants' manager Roger Craig after his team had fallen in Game Three to a five-home-run barrage that tied a 61-year-old Series record.	"Craig allowed that he might play his outfielders deeper, ""maybe on the other side of the fence."
142	Contingency	what measures were planned by the bank	to improve controls on its branches abroad.
143	Contingency	It is generally desirable to use older textbooks -- many of them, alas, out of print -- rather than newer ones.	The latter are modish, trendy, often downright silly, and at best insubstantial.
144	Expansion	that statements made over the weekend	to quell concern about the stability of Prime Minister Margaret Thatcher's government and the future of her economic program
145	Expansion	The consumer price index rose 0.2% in September, while many economists were looking for a 0.4% increase.	Stock-index arbitrage buy programs helped the rally's momentum.
146	Expansion	Even if the Congress (I) retains control of the government, Mr. Gandhi's ability to push through major initiatives might be hobbled by a thinner majority.	Economic analysts call his trail-blazing liberalization of the Indian economy incomplete, and many are hoping for major new liberalizations if he is returned firmly to power.
147	Comparison	The program provides highly subsidized loans to any student whose family earns less than a particular amount.	High default rates, a low interest rate, and government coverage of all interest costs while the student is in school make program costs extremely high.
148	Contingency	His client contacts, meanwhile, could prove a gold mine for an agency that has had few new business wins of late.	I've done over 40 ad agency searches {for clients}, so I have a pretty good notion of what clients are interested in when they look for an agency,
149	Expansion	Excluding the increase in loan-loss reserves, Bankers Trust said third-quarter net income would have increased 11% to $180 million.	A number of major banks have posted big losses after sharply increasing loan-loss reserves.
150	Expansion	the project may have been snagged by budgetary concerns.	One preliminary estimate put the retrofitting cost at as much as $50 million.
151	Contingency	The U.S. unit dipped to a session low against the mark just after the release of the U.S. consumer price index.	The report showed that September consumer prices rose just 0.2%, a smaller increase than expected.
152	Comparison	GM, meanwhile, is hosting a delegation of members of the British Parliament who are touring the auto maker's headquarter operations in Detroit.	the visit isn't connected to the Jaguar situation.
153	Temporal	designed in the mid-1940s	and completed in 1957,
154	Expansion	Refining and marketing operations earned $130 million in the quarter this year, compared with earnings of $186 million a year earlier that included $18 million in charges for environmental programs.	Foreign earnings fell to $180 million from $182 million that included a $48 million gain from lower Canadian and Australian taxes.
155	Expansion	The combination of solid loan growth with tight expense control gave Wells Fargo a 1.25% return on average assets for the quarter, about 40% higher than Security Pacific's and a profit ratio matched by only two or three other major banks in the U.S.	Wells Fargo's return on equity increased to 24.4% from 23.8%
156	Contingency	The family moves to another house at night	to conceal shabby belongings from neighbors.
157	Comparison	Posix is one of three or four versions of UNIX, but it is increasingly required by the federal government as it tries to standardize its computer systems.	Most other supercomputer manufacturers have yet to adopt the Posix standard, adding that they prefer to maintain proprietary systems that lock in customers.
158	Temporal	But a medical clinic with about 20 employees wrongly listed all of them -- including physicians and receptionists -- as independent contractors.	The IRS assessed the clinic $350,000 in back payroll taxes.
159	Contingency	"Already ""it's hard to get people."	They're so busy,
160	Expansion	Many law firms sponsor their own programs.	At the Baltimore firm of Weinberg & Green, new corporate and banking associates are required to enroll in a 20-class course.
161	Expansion	That indicates speculators are betting a higher offer is in the wings.	Prices of other paper makers rose sharply,
162	Comparison	it represented 57% of U.S. liquor exports last year,	no other category had more than 19%.
163	Comparison	The Dow Jones Industrial Average lost 5.94 points to 2653.28 in moderate trading.	Long-term Treasury bonds rose slightly despite the arrival on the market of $4.52 billion in 30-year bonds offered by the Resolution Funding Corp. as part of the government's bailout of the savings and loan industry.
164	Expansion	U.S. pharmaceutical sales rose 15%,	led by allergy, asthma and cold products; dermatological products; anti-infectives and anti-cancer products; and cardiovascular products.
165	Contingency	AG is hardly alone in its anxiety.	A rambunctious shake-up is quickly reshaping Europe's once-stately insurance business.
166	Temporal	"Earlier this year, President Bush made a final ""take-it-or-leave it"" offer on the minimum wage: an increase to $4.25 an hour over three years, and only if accompanied by a lower wage for the first six months of a job."	Now, the White House has decided to accept the higher wage over only two years.
167	Expansion	Much of its attention was spent fighting organized labor's initiatives on issues the small-business community traditionally opposes -- from raising state minimum wage levels to mandating benefits in health plans.	"While results were mixed in many states, ""small business got by fairly well,"
168	Expansion	Phillips Petroleum's third-quarter earnings slid 60%, to $87 million, or 36 cents a share, from $215 million, or 89 cents a share.	Revenue rose 6.9%, to $3.1 billion from $2.9 billion.
169	Contingency	But I feel that if somebody doesn't get up and start talking about this now, the next time around, when we have the next iteration of these programs, it will still be true that everyone is scared to talk about it.	No politician wants to say what I just said, not for a minute.
170	Expansion	At the low end, investors can spend $15,000 or more to own a racehorse in partnership with others.	At a yearling sale, a buyer can go solo and get a horse for a few thousand dollars.
171	Expansion	Southam agreed to sell its 47% stake in Selkirk Communications Ltd., a broadcasting concern, to Maclean Hunter Ltd. for about C$285 million last year.	This year, it has moved to cut costs in its newspaper division through layoffs and asset sales, while reaching joint venture and acquisition agreements in other areas.
172	Contingency	The machine is essentially a mainframe computer,	"Suddenly CDC (Control Data) has a competitive product to fight back against the VAX9000,"" a machine Digital announced last month,"
173	Expansion	by shining light through a mask	to produce an image on the chip, much as a camera produces an image on film.
174	Contingency	that so many people feel they're slipping between the cracks,	that middle-class life is viewed with nostalgia or outright longing.
175	Temporal	"Options traders, arbitrage traders -- everyone,"" said Mr. Bates,"	cooling down with a carton of apple juice after the close yesterday.
176	Expansion	The Agriculture Department is expected to announce tomorrow that the number of cattle in the 13 major ranch states slipped 4% to 8.21 million on Oct. 1 compared with the level a year earlier,	Cattle prices have risen in recent weeks on speculation that the government's quarterly report will signal tighter supplies of beef.
177	Temporal	ordered two employees to lie on the floor	and shot them in the backs of their heads.
178	Contingency	bottoming out	and starting to rebound.
179	Comparison	Nor are any of these inefficient monoliths likely to be allowed to go bankrupt.	"Rather, the brunt of the slowdown will be felt in the fast-growing private and semi-private ""township"" enterprises,"
180	Comparison	Bertin Nadeau, newly appointed chairman and interim chief executive of Provigo, wouldn't say if Mr. Lortie was asked to leave.	"Mr. Lortie felt less pertinent,"" Mr. Nadeau said, given the decision to dump Provigo's non-food operations."
181	Temporal	Eight years I've had it.	A cultural center has been built, shops.
182	Contingency	Buying was scattered across a wide range of issues,	With uncertainty still hanging over interest rates and the dollar, the market failed to find a focus that might lead to further investor commitments,
183	Temporal	opens junk mail	and often throws it away
184	Contingency	that since some larger banks have already taken loss provisions for loans to other Third World nations, further write-offs could be viewed as intolerable.	"They can't take the hit"" to their earnings,"
185	Temporal	A few months later, Mr. Bush became Ronald Reagan's running mate.	Suddenly, George Bush the pro-choice advocate became George Bush the anti-abortionist.
186	Comparison	From 1974 to 1984, prices for the best yearlings at the summer sales rose 918% to an average of $544,681.	Since then, prices have slumped, to an average of $395,374 this summer.
187	Contingency	By pressuring taxi and bus drivers who needed licenses, he gained a ready cache of information.	He knew which local luminaries had been caught driving drunk, which had been found with their mistresses.
188	Expansion	"CBS pursues top sports ""to belie the fact that they aren't supporting affiliates, viewers and advertisers,"	They lost the entertainment crown, and they needed one. And they've bought one.
189	Expansion	reject Cranston-Mitchell	and focus on programs that empower the poor
190	Temporal	A good half-hour into breakfast at the Palmer House, Mr. O'Brien looks up from his plate after Mr. Straszheim says something about people who believe interest rates are about to nosedive.	I'm one of them who hope they will, with $6 billion in debt on the books.
191	Temporal	encircling a thin rod of palladium metal with a wire of platinum	"and plunging the two electrodes into ""heavy"" water in which the hydrogen atoms are a doubly heavy form known as deuterium."
192	Expansion	some structural damage to headquarters and no power;	major problems transporting products to those stores that remained open;
193	Expansion	After gaining strength during a brief run-up when trading began, the Nasdaq Composite Index weakened under selling pressure.	The forces at work included computer-guided trading, as well as profit-driven market makers and institutional investors who had bought stock on the cheap during the recent correction.
